Row Labels,650111,652564,660217,687480,1087950,8038146,8038184,8038288,8038321,8038463,8038634,8038677,Grand_Total
1141,,,2050.78,75.77,,1033.74,118.23,1569.46,,,,,4847.98
1142,,,1249.59,223.8,,1005.22,191.35,562.32,,,,,3232.28
1143,,,2107.89,75.69,,789.15,142.07,465.09,,,,,3579.89
1144,,,1956.87,130.86,,1090.81,165.61,667.54,,,,,4011.69
1145,,,1863.12,76,,1166.01,90.64,865.69,,,,,4061.46
1146,,,1617.51,123.3,,911.24,96.58,612.34,,,,,3360.97
1147,,,3029.73,200.36,,638.02,135.27,416.72,,,,,4420.1
1148,,,2643.34,167.4,,801.95,82.64,509.14,,232.41,,,4436.88
1149,,,2336.83,276.99,,732.83,126.73,677.5,,145.26,,,4296.14
1150,,,1738.07,176.6,,847.55,110.42,675.06,,278.06,,,3825.76
1151,,,2038.98,201.18,,909.58,104.23,706.85,,205.75,,,4166.57
1152,,,1425.17,305.05,,689.68,106.96,495.41,,274.07,,,3296.34
1153,,,1266.48,175.5,,736.96,101.65,357.37,,521.69,,,3159.65
1154,,,1727.8,329.85,,680.34,71.73,291.56,,303.87,,,3405.15
1155,,,2000.86,296.14,,1355.8,185.53,36286.38,,248.62,,,40373.33
1156,,,4241.91,385.33,,1388.97,161.11,469.7,,275.55,,,6922.57
1157,,,2703.93,105.74,,889.99,246.47,732.53,,410.25,,,5088.91
1158,,,2514.34,206.11,,717.9,57.79,694.27,,164.64,,,4355.05
1159,,,3619.31,125.39,,1077.09,192.84,427.73,,129.61,,,5571.97
1160,,,3755.34,78.74,,674.29,122.68,508.63,,332.57,,,5472.25
1161,,,3472.74,148.28,,822.92,105.62,292.79,,284.82,,,5127.17
1162,,,3219.2,131.77,,850.27,203.2,472.79,,327.01,,,5204.24
1163,,,4094.46,306.99,,491.89,84.81,300.58,,318.71,,,5597.44
1164,,,8837.74,441.63,,1611.92,438.26,1214.01,,686.51,,,13230.07
1165,,,5640.29,213.13,,660.8,81.81,398.25,,639.84,,,7634.12
1166,,,4223.25,131.92,,561.29,201.65,1428.49,,376.55,,,6923.15
1167,,,3649.15,199.81,,672.59,141.09,548.01,,511.18,,,5721.83
1168,,,3874.64,387.36,,550.32,105.93,442.39,,215.03,,,5575.67
1169,,,3494.68,294.92,,856.65,101.7,473.69,,230.26,,,5451.9
1170,,,3537.26,161.47,,824.77,610.65,1320.46,,228.81,,,6683.42
1171,,,2479.23,190.81,,1003.16,120.62,486.06,,426.75,,,4706.63
1172,,,4548.06,200.08,,1185.32,197.84,946.85,,397.28,,,7475.43
1173,,,1838.7,214.5,,875.13,3541.96,666.4,,273.03,,,7409.72
1174,,,2917.81,236.2,,774.71,1071.46,1872.05,,226.78,,,7099.01
1175,,,3041.76,706.95,,842.59,225.43,1203.06,,303.66,,,6323.45
1176,,,2415.77,205.99,,465.03,194.4,774.5,,267.84,,,4323.53
1177,,,2865.82,274.18,,699.23,145.54,601.13,,394.04,,,4979.94
1178,,728.54,3429.03,403.35,,571.51,120.91,777.87,,315.34,,,6346.55
1179,,593.62,1844.61,235.46,,688.43,120.67,610.32,,285.61,,,4378.72
1180,,339.54,4203.23,377.5,,947.49,77.61,1104.54,,225.26,,,7275.17
1181,,652.78,4333.33,316.95,,661.59,105.65,637.83,,503.35,,,7211.48
1182,,565.8,3250.03,242.22,,1007.62,640.76,1312.62,,218.18,,,7237.23
1183,,258.14,3059.07,356.66,,1027.88,166.89,851.46,,501.1,,,6221.2
1184,,441.47,4691.9,535.13,,956.38,127.83,670.76,,266.15,,,7689.62
