"","acura","audi","bmw","buick","cadillac","chevrolet","chrysler","dodge","ford","honda","hyundai","infiniti","kia","lincoln","mazda","mercedes","mercury","mitsubishi","nissan","pontiac","saturn","subaru","suzuki","toyota","volkswagen","volvo"
"hyundai",0.706714607267093,0.534989562510603,0.864795506261049,0.822119598985709,0.36322260906494,0.966335648682738,1.02869557527145,0.385048541627587,1.65518345518739,1.46525643212114,14.3109707971586,1.47862428900532,5.2595875579301,0.603838430259858,1.84278254100399,1.65924299097492,0.386782994517801,2.13142118255554,1.03256371574436,0.444691182962557,0.211492179268354,1.15256140648258,1.11514058159678,1.3131633051747,1.12189254815202,0.736594085147871
"infiniti",6.11255979226459,5.00244852915819,5.34740294771369,0.427070738792494,3.73596568452994,0.215137456840806,0.848724089777896,1.20013899690566,0.47621173720634,1.2608244172894,1.47862428900532,66.9077490774908,2.57337496451888,1.97617824279509,0.366617803164333,4.84838761431093,0,1.42356912930831,3.6418141902938,0.378009881793733,0.659189646083653,3.59236236657669,1.73786361240236,0.977611763259655,0.639653432863201,3.93574994573475
"kia",0.956631845520734,1.0862688713156,0.604188534013095,0.824331696672122,0.786671872966289,1.80637315524775,1.96584810538299,0.347476141198114,2.48179578428689,2.4823154232702,5.2595875579301,2.57337496451888,77.4871794871795,0.326950124418479,3.82128556375132,1.68450390189521,2.09424809424809,16.4866339334424,1.17702044790652,0.437780675068811,0.381710243779209,1.04009636895543,5.03163503163503,1.44920499333124,1.48159042996519,1.1395173453997
"lincoln",2.64466322862947,0.715012421625458,1.34221630024428,0.813897118233235,3.10685600462636,0.738003174732386,0.808734980062622,1.71538854515525,7.35114194333078,0.672794351504357,0.603838430259858,1.97617824279509,0.326950124418479,76.5063291139241,1.04803190567019,1.10878737846267,14.4741703729046,0,0.581060727447524,0.216119573768147,1.50751387416599,1.02693059213321,0.993588689791221,0.447143945727201,0.438850836217538,3.3752792256143
"mazda",0.858609842719432,1.04460376392267,0.581014179283826,0.317085397843194,0.50433210486058,1.11812535788222,2.62561904486084,0.668296578413907,5.3919563203822,2.74594892269567,1.84278254100399,0.366617803164333,3.82128556375132,1.04803190567019,49.6767123287671,0.719952352590828,2.01392077008515,5.28475663071991,2.01222125888677,0.28065939168795,1.71299008030231,5.33441206214949,2.58060843266323,1.77105754065155,2.37460383980722,2.19161966156326
"mercedes",4.86634460547504,9.20967086550183,11.7816764132554,1.11822386679001,7.33657029353344,0.950580176149867,2.77782884456292,3.53519204523299,2.10413120841714,1.5681123006336,1.65924299097492,4.84838761431093,1.68450390189521,1.10878737846267,0.719952352590828,131.391304347826,1.77555816686251,0,0.6652724270776,0.742323753377549,0,7.93638751094252,1.70638057594579,1.99659492287754,3.76839305012886,6.76278772378517
"mercury",1.21001001001001,0.572493053801465,0,1.56400230017251,1.24379201536562,0.590901190579647,2.59013770641678,1.09877590595079,11.3357699336347,0.923468694825479,0.386782994517801,0,2.09424809424809,14.4741703729046,2.01392077008515,1.77555816686251,245.027027027027,0,0.620321587410195,0,0,1.64447669145656,0,0.716034561738828,0,1.8016693163752
"mitsubishi",0,3.60548816862199,0.752021898718427,0,0,1.86071013203804,2.44685349287032,5.18996278981013,1.37290830620126,3.39260130439431,2.13142118255554,1.42356912930831,16.4866339334424,0,5.28475663071991,0,0,385.787234042553,2.4416913546997,0,0,7.76752820219906,40.0817905498757,2.25474713058184,1.47528578983768,2.83667083854819
"nissan",1.64346929207689,0.85801490595055,0.984291953512473,0.586005925127929,0.466028400693954,0.793353412837315,0.630813284448845,0.617539876255889,1.592747421055,2.09046816360282,1.03256371574436,3.6418141902938,1.17702044790652,0.581060727447524,2.01222125888677,0.6652724270776,0.620321587410195,2.4416913546997,22.9518987341772,0.259343488521776,0.678381243374696,1.54039588819981,0.894229820812099,1.40850342904068,1.1410121741656,0.675055845122859
"pontiac",0.252939945595313,0,0.898602438299138,1.52571222502705,1.04000688290459,1.85282576707177,0.433152972372523,1.60781333130653,1.36709089812413,0.643471595264458,0.444691182962557,0.378009881793733,0.437780675068811,0.216119573768147,0.28065939168795,0.742323753377549,0,0,0.259343488521776,51.2203389830508,1.76621858562244,0.687521328631555,0,0.508910439925111,0.391742554363678,1.12986041874377
